airport,lat,long,runways,lengthRunway,flightsDelayed,totalFlights,percentDelayed,minDelayCarrier,minDelayAircraft,MinDelayAviation,minDelaySecurity,minDelayTotal,minDelayWeather,
ATL,33.6367,-84.427863,5,49389,1006285,4847036,20.76083198,15872117,18969314,21513758,50306,59485390,3079895,
BOS,42.362944,-71.006388,6,42506,311339,1414922,22.00396912,4442982,6328457,6357015,20884,18045738,896400,
BWI,39.175728,-76.668991,3,25002,226290,1233919,18.33912923,2942666,5703763,2612062,23277,11999666,717882,
CLT,35.21375,-80.949055,4,35178,266858,1471199,18.13881059,3929287,4743430,3732718,21767,12990494,563288,
DCA,38.851444,-77.037721,3,17284,187913,998875,18.81246402,2807720,3425758,2935200,13714,9797247,614851,
DEN,39.861667,-104.673166,6,76000,492980,2669176,18.46937032,7454660,11476210,6195412,38409,26359659,1194964,
DFW,32.897232,-97.037694,7,80403,627661,3422939,18.33690288,10656817,15748823,8747822,39350,37627599,2434787,
DTW,42.212417,-83.353388,6,57713,296808,1633595,18.16900762,5625838,6159783,3848936,23754,16635100,976789,
EWR,40.69248,-74.168686,3,27726,461306,1572693,29.33223458,4203858,7628107,18798000,29357,31764236,1104902,
FLL,26.071667,-80.149693,2,17000,181105,808078,22.41182163,2784078,3810814,2477506,23456,9465361,369495,
IAD,38.947444,-77.459943,4,53401,193740,984389,19.6812439,3153412,5456638,2704261,12617,11751474,424542,
IAH,29.984435,-95.341442,5,50403,414121,2257833,18.34152482,5813619,8855268,7358675,45176,23219184,1146446,
JFK,40.639926,-73.778694,4,44990,315533,1286433,24.52774455,4419051,5782973,8385683,34661,19485455,863083,
LAS,36.080056,-115.152249,4,43796,364653,1876789,19.42962155,4920945,8123081,4137991,43460,17916235,690758,
LAX,33.942494,-118.408046,4,43829,514004,2637252,19.49013594,7997127,10882669,5914977,61352,25818607,962478,
LGA,40.77725,-73.87261,2,14004,356561,1344980,26.51050573,3893114,5034265,11330248,12101,21425963,1156231,
MCO,28.429389,-81.308999,4,43010,284956,1439876,19.79031528,4712851,6464757,3390974,34215,15197279,594482,
MDW,41.785972,-87.752416,5,27474,195563,1078378,18.13492115,2173785,4858598,2292367,26421,10082825,731650,
MIA,25.795361,-80.29011,4,41477,178509,853139,20.9237885,3399773,3703439,2382031,20441,10010067,504375,
MSP,44.881972,-93.221777,4,37206,279612,1533618,18.23218037,5406878,5188222,3967931,28881,15493850,901930,
ORD,41.97732,-87.908005,8,72029,930193,3973794,23.40818372,11983471,21214082,27491097,44611,62820158,2086881,
PDX,45.588709,-122.596868,3,26825,121391,655331,18.52361631,1932557,2864951,995239,14621,6004413,197045,
PHL,39.872083,-75.24066,4,33001,267108,1133536,23.56413912,3181240,4542715,6810414,15360,15460969,911232,
PHX,33.434278,-112.011582,3,9018,365142,2204351,16.56460337,5868154,7219118,3635674,55975,17411515,632590,
SAN,32.733556,-117.189666,1,9401,191304,1003943,19.05526509,2921189,4068480,1635472,20126,8995080,349813,
SEA,47.449889,-122.311777,3,29827,246526,1274663,19.3404845,3966245,5185093,2628431,37066,12236442,419607,
SFO,37.618806,-122.375416,4,39551,453476,1761055,25.7502463,540449,8816622,12830068,33540,27974453,833774,
SLC,40.788388,-111.977772,4,38490,227803,1542254,14.77078354,3847811,4551616,2077975,33720,11125016,613894,
TPA,27.975472,-82.533249,3,26301,169682,859982,19.73087809,2700334,3845338,1847723,17698,8796603,385498,